iter	RMSE
0	17.04298714
1	16.05434851
2	15.17881141
3	14.37744477
4	13.65293754
5	13.00650828
6	12.42937894
7	11.91907721
8	11.4624292
9	11.03692552
10	10.64792713
11	10.31278726
12	10.01864175
13	9.751807383
14	9.507148606
15	9.285271294
16	9.088466803
17	8.91173009
18	8.745966752
19	8.598744078
20	8.427071804
21	8.277410108
22	8.146942398
23	8.008137955
24	7.904277075
25	7.812961734
26	7.723378331
27	7.612528978
28	7.534144616
29	7.44602456
30	7.362095966
31	7.286255575
32	7.222741817
33	7.159595057
34	7.101227754
35	7.051710136
36	6.981005093
37	6.927819853
38	6.87747079
39	6.835116706
40	6.793401338
41	6.760871432
42	6.725359172
43	6.69291377
44	6.662246912
45	6.628645103
46	6.602223137
47	6.569500328
48	6.549352902
49	6.522171854
50	6.498424405
51	6.479772682
52	6.457675542
53	6.43458971
54	6.412802693
55	6.392392488
56	6.369159141
57	6.347309991
58	6.331801617
59	6.311823493
60	6.293637243
61	6.281708684
62	6.267311745
63	6.252213888
64	6.241509472
65	6.227878053
66	6.219215247
67	6.212217758
68	6.201285233
69	6.187562119
70	6.176849118
71	6.161205875
72	6.149658171
73	6.142463888
74	6.136473886
75	6.12681421
76	6.115239494
77	6.110478615
78	6.104390814
79	6.096312181
80	6.091036617
81	6.08607323
82	6.078814035
83	6.074288806
84	6.067723418
85	6.05580734
86	6.049279833
87	6.04324189
88	6.038128395
89	6.034621731
90	6.028707937
91	6.024606757
92	6.020686854
93	6.017527538
94	6.013478175
95	6.007249854
96	6.002954639
97	5.998789643
98	5.995955728
99	5.990164485
100	5.98705633
101	5.983875314
102	5.980971213
103	5.972701116
104	5.96942095
105	5.967743313
106	5.963775641
107	5.960639216
108	5.956861556
109	5.955221445
110	5.949672518
111	5.948163421
112	5.940807037
113	5.938426673
114	5.935223107
115	5.932426193
116	5.927188905
117	5.924205813
118	5.92147058
119	5.918636773
120	5.915230051
121	5.912897027
122	5.907404424
123	5.905675098
124	5.903577922
125	5.901224568
126	5.897099735
127	5.895523266
128	5.89363066
129	5.891274587
130	5.889629465
131	5.885473965
132	5.883286495
133	5.881132399
134	5.879705515
135	5.877970758
136	5.876282586
137	5.87393531
138	5.869916356
139	5.867671764
140	5.865324012
141	5.863925315
142	5.861956571
143	5.858656809
144	5.857244294
145	5.855485676
146	5.853110475
147	5.851256699
148	5.849490993
149	5.848050613
150	5.845375552
151	5.843825317
152	5.842416134
153	5.841221899
154	5.839372646
155	5.8376633
156	5.83609261
157	5.834902408
158	5.833319078
159	5.831801462
160	5.830539129
161	5.828501853
162	5.827082946
163	5.825456331
164	5.82372792
165	5.82231505
166	5.821411608
167	5.820154319
168	5.818367034
169	5.816695526
170	5.815020088
171	5.813267681
172	5.812031194
173	5.810846316
174	5.809212431
175	5.807840738
176	5.80577878
177	5.804656713
178	5.803946554
179	5.802401331
180	5.801053375
181	5.800226185
182	5.799174016
183	5.7984522
184	5.796931634
185	5.795851906
186	5.794925557
187	5.793406168
188	5.792092839
189	5.79104535
190	5.790015363
191	5.788903002
192	5.787761453
193	5.78698875
194	5.786347534
195	5.785434014
196	5.784102155
197	5.783127761
198	5.782014017
199	5.780389095
200	5.778916861
201	5.778053695
202	5.777247329
203	5.776368864
204	5.77543081
205	5.77457973
