iter	Passed	Remaining
0	6	6246
1	12	6080
2	18	6004
3	24	5989
4	29	5828
5	35	5961
6	42	6010
7	48	6043
8	54	6029
9	60	5971
10	65	5884
11	70	5829
12	76	5826
13	84	5926
14	90	5915
15	97	5979
16	103	5976
17	110	6020
18	116	6010
19	122	6008
20	128	5993
21	133	5932
22	139	5930
23	144	5863
24	149	5820
25	153	5756
26	158	5696
27	162	5647
28	167	5592
29	173	5603
30	179	5625
31	186	5629
32	191	5602
33	197	5607
34	202	5576
35	206	5534
36	211	5498
37	216	5468
38	220	5433
39	225	5402
40	229	5378
41	234	5359
42	239	5327
43	244	5302
44	248	5269
45	252	5243
46	257	5211
47	261	5187
48	265	5161
49	270	5134
50	274	5108
51	278	5079
52	282	5053
53	287	5035
54	291	5013
55	296	4990
56	300	4971
57	305	4958
58	310	4959
59	323	5067
60	329	5064
61	335	5068
62	339	5055
63	345	5047
64	349	5027
65	353	5007
66	358	4986
67	362	4971
68	368	4969
69	374	4978
70	380	4978
71	385	4972
72	391	4977
73	396	4965
74	401	4946
75	405	4930
76	409	4913
77	414	4898
78	419	4884
79	423	4872
80	428	4856
81	432	4840
82	437	4830
83	442	4823
84	446	4807
85	451	4794
86	455	4780
87	459	4765
88	464	4752
89	468	4738
90	473	4727
91	477	4711
92	481	4696
93	485	4684
94	491	4681
95	496	4671
96	500	4659
97	505	4649
98	509	4637
99	513	4625
100	519	4620
101	525	4623
102	531	4629
103	537	4630
104	544	4638
105	549	4632
106	553	4622
107	558	4616
108	563	4607
109	568	4597
110	572	4584
111	577	4575
112	582	4573
113	588	4575
114	594	4577
115	600	4572
116	606	4578
117	611	4574
118	616	4562
119	620	4553
120	625	4545
121	630	4535
122	634	4526
123	638	4512
124	643	4504
125	648	4495
126	652	4486
127	657	4481
128	662	4470
129	666	4462
130	671	4451
131	675	4441
132	679	4432
133	684	4421
134	688	4412
135	693	4404
136	697	4396
137	703	4394
138	708	4387
139	712	4378
140	717	4368
141	721	4358
142	725	4349
143	730	4340
144	736	4340
145	742	4343
146	748	4345
147	754	4343
148	761	4346
149	767	4348
150	771	4338
151	776	4333
152	782	4333
153	789	4338
154	795	4338
155	809	4378
156	813	4369
157	818	4359
158	823	4353
159	827	4343
160	831	4335
161	836	4326
162	840	4315
163	845	4307
164	849	4298
165	854	4293
166	858	4283
167	863	4275
168	867	4268
169	872	4260
170	877	4253
171	882	4246
172	886	4239
173	891	4232
174	896	4226
175	901	4218
176	906	4213
177	911	4207
178	915	4201
179	920	4194
180	925	4188
181	930	4182
182	935	4176
183	940	4169
184	946	4167
185	952	4167
186	958	4169
187	964	4166
188	971	4166
189	976	4164
190	981	4158
191	986	4151
192	992	4150
193	998	4150
194	1005	4148
195	1010	4147
196	1019	4154
197	1024	4149
198	1029	4142
199	1034	4136
200	1038	4129
201	1043	4122
202	1047	4113
203	1052	4105
204	1057	4099
205	1061	4091
206	1066	4084
207	1070	4076
208	1075	4069
209	1079	4061
210	1084	4053
211	1088	4046
212	1093	4040
213	1097	4032
214	1102	4025
215	1106	4016
216	1110	4008
217	1115	4000
218	1119	3992
219	1123	3983
220	1128	3976
221	1132	3968
222	1136	3960
223	1142	3956
224	1148	3956
225	1155	3957
226	1161	3953
227	1166	3949
228	1172	3947
229	1177	3940
230	1181	3933
231	1188	3935
232	1195	3934
233	1201	3932
234	1207	3929
235	1212	3924
236	1218	3924
237	1223	3918
238	1228	3910
239	1233	3904
240	1237	3897
241	1241	3889
242	1246	3882
243	1250	3874
244	1254	3866
245	1258	3858
246	1263	3851
247	1267	3843
248	1271	3835
